anio,ccaa,provincia,tipo_procedencia,categoria,especie,n_sueltas
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,8242.0
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Paloma,300.0
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,28266.0
2019,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,415.0
2019,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,45.0
2019,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,705.0
2019,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,35769.0
2019,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,1140.0
2019,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,40.0
2019,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,2305.0
2019,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,37200.0
2019,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,4408.0
2019,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,690.0
2019,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,32932.0
