anio,ccaa,provincia,tipo_procedencia,categoria,especie,n_sueltas
2017,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,310.0
2017,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1815.0
2017,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,5625.0
2017,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,40.0
2017,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,580.0
2017,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,8414.0
2017,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,9260.0
2017,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,158975.0
2017,Murcia,Murcia,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,200.0
2017,Murcia,Murcia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,26855.0
2017,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,18926.0
2017,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,5473.0
2017,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,2000.0
2017,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,6070.0
2017,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,450.0
2017,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,450.0
2017,País Vasco,Vizcaya,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,200.0
2016,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,1000.0
2016,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,2150.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,400.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,460.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,1700.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,3000.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1400.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1000.0
2016,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1650.0
