nivel,anio,tabla,check,resultado,detalle
SAMPLING,2013,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2012,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2011,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2010,licencias_prov,seed=99,FAIL,"29 OK, 0 skip, 1 FAIL"
SAMPLING,2009,licencias_prov,seed=99,FAIL,"29 OK, 0 skip, 1 FAIL"
SAMPLING,2008,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2007,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2006,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2005,licencias_prov,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2023,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2022,capturas,seed=99,OK,"29 OK, 1 skip, 0 FAIL"
SAMPLING,2021,capturas,seed=99,OK,"28 OK, 2 skip, 0 FAIL"
SAMPLING,2020,capturas,seed=99,OK,"29 OK, 1 skip, 0 FAIL"
SAMPLING,2019,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2018,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2017,capturas,seed=99,OK,"29 OK, 1 skip, 0 FAIL"
SAMPLING,2016,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2015,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2014,capturas,seed=99,OK,"28 OK, 2 skip, 0 FAIL"
SAMPLING,2013,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2012,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2011,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2010,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2009,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2008,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2007,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2006,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2005,capturas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2023,sueltas,seed=99,FAIL,"27 OK, 0 skip, 3 FAIL"
SAMPLING,2022,sueltas,seed=99,OK,"29 OK, 1 skip, 0 FAIL"
SAMPLING,2021,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2020,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2019,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2018,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2017,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2016,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2015,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2014,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2013,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2012,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2011,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2010,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2009,sueltas,seed=99,OK,"28 OK, 2 skip, 0 FAIL"
SAMPLING,2008,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2007,sueltas,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2006,sueltas,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2023,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2022,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2021,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2020,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2019,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2018,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2017,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2016,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2015,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2014,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2013,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2012,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2011,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2010,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2009,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2008,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2007,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2006,produccion,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
SAMPLING,2023,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2022,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2021,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2020,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2019,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2018,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2017,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2016,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2015,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2014,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2013,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2012,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2011,terrenos,seed=99,OK,"1 OK, 29 skip, 0 FAIL"
SAMPLING,2010,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2009,terrenos,seed=99,OK,"1 OK, 29 skip, 0 FAIL"
SAMPLING,2008,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2007,terrenos,seed=99,OK,"0 OK, 30 skip, 0 FAIL"
SAMPLING,2006,terrenos,seed=99,OK,"30 OK, 0 skip, 0 FAIL"
INTEGRIDAD,-,licencias_ccaa,años_completos,OK,8 años
INTEGRIDAD,-,licencias_prov,años_completos,OK,11 años
INTEGRIDAD,-,capturas,años_completos,OK,19 años
INTEGRIDAD,-,sueltas,años_completos,OK,18 años
INTEGRIDAD,-,produccion,años_completos,OK,18 años
INTEGRIDAD,-,terrenos,años_completos,OK,18 años
INTEGRIDAD,-,licencias_ccaa,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,licencias_prov,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,capturas,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,sueltas,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,produccion,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,terrenos,no_null_keys,OK,sin NaN en claves
INTEGRIDAD,-,licencias_ccaa,sin_duplicados,OK,136 filas únicas
INTEGRIDAD,-,licencias_prov,sin_duplicados,OK,484 filas únicas
INTEGRIDAD,-,capturas,sin_duplicados,OK,13418 filas únicas
INTEGRIDAD,-,sueltas,sin_duplicados,OK,3606 filas únicas
INTEGRIDAD,-,produccion,sin_duplicados,OK,1421 filas únicas
INTEGRIDAD,-,terrenos,sin_duplicados,OK,3078 filas únicas
